Ref_number	Sample_number	Volcanic_zone	System	Eruption	Location	Phase	Phase_number	Point_number	Core_rim	Profile_distance	Pheno_xeno_nod_gm	Texture	Inclusion	Hostref	Machine	Lab	Analyst	Comment		Point	Date	Notes		SiO2	TiO2	Al203	Cr2O3	V2O3	Fe2O3	FeO	MnO	MgO	CaO	Na2O	K2O	P2O5	NiO	SO2	F	Cl	Total	SiO2_err	TiO2_err	Al2O3_err	Cr2O3_err	V2O3_err	Fe2O3_err	FeO_err	MnO_err	MgO_err	CaO_err	Na2O_err	K2O_err	P2O5_err	NiO_err	SO2_err	F_err	Cl_err	SiO2_dl	TiO2_dl	Al203_dl	Cr2O3_dl	V2O3_dl	Fe2O3_dl	FeO_dl	MnO_dl	MgO_dl	CaO_dl	Na2O_dl	K2O_dl	P2O5_dl	NiO_dl	SO2_dl	F_dl	Cl_dl
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol11		33	09/11/2013	14:18:58	0	40.2418	0	0.045	0.0546	0	0	14.1228	0.2089	45.7155	0.2714	0	0	0.0132	0.2185	0	0	0	100.8917	0.436	0.026	0.0127	0.0461	0	0	0.5192	0.0247	0.6549	0.0181	0	0	0	0.0248	0	0	0	248	313	140	514	0	0	941	244	362	126	0	0	0	240	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol12		34	09/11/2013	14:27:33	0	40.5337	0.0048	0.0554	0.0492	0	0	13.8374	0.2119	45.9167	0.2611	0	0	0.0039	0.2136	0	0	0	101.0878	0.4391	0.0249	0.0125	0.0465	0	0	0.5113	0.0239	0.6576	0.0173	0	0	0	0.0241	0	0	0	252	299	136	523	0	0	928	235	359	124	0	0	0	235	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol12		35	09/11/2013	14:36:04	0	40.3966	0.0241	0.035	0.029	0	0	13.6043	0.2037	45.8016	0.2848	0	0	0	0.2292	0	0	0	100.6083	0.4377	0.0247	0.0124	0.0429	0	0	0.505	0.0238	0.656	0.0179	0	0	0	0.0242	0	0	0	250	288	140	495	0	0	943	236	368	121	0	0	0	230	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol12		36	09/11/2013	14:44:35	0	40.3189	0.0141	0.0443	0.0209	0	0	13.9026	0.2043	45.7369	0.2672	0	0	0.0145	0.2144	0	0	0	100.7382	0.4368	0.026	0.0125	0.043	0	0	0.5133	0.0245	0.6552	0.0179	0	0	0	0.0247	0	0	0	248	308	137	503	0	0	955	244	366	128	0	0	0	241	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol13		37	09/11/2013	14:53:14	0	39.7378	0.0027	0.0357	0.0306	0	0	16.601	0.2624	43.441	0.2874	0	0	0.0197	0.1666	0	0	0	100.5849	0.4306	0.0257	0.0127	0.0425	0	0	0.5867	0.0265	0.624	0.0187	0	0	0	0.0241	0	0	0	249	309	143	489	0	0	986	253	360	129	0	0	0	248	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol13		38	09/11/2013	15:01:48	0	39.8818	0.0047	0.032	0.0208	0	0	16.7254	0.2629	43.4614	0.2748	0	0	0	0.1789	0	0	0	100.8427	0.4322	0.0264	0.0131	0.0398	0	0	0.5909	0.0263	0.6243	0.0184	0	0	0	0.0242	0	0	0	249	317	149	464	0	0	1036	250	357	131	0	0	0	245	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol13		39	09/11/2013	15:10:23	0	39.8197	0.029	0.0322	0.0452	0	0	16.6128	0.2702	43.4593	0.284	0	0	0	0.1485	0	0	0	100.7009	0.4315	0.026	0.0126	0.0422	0	0	0.5873	0.0261	0.6243	0.0185	0	0	0	0.0239	0	0	0	246	303	142	472	0	0	977	244	358	128	0	0	0	251	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol14		40	09/11/2013	15:18:57	0	40.5778	0	0.0381	0.0503	0	0	12.3542	0.1853	46.2236	0.261	0	0	0	0.2607	0	0	0	99.9509	0.4397	0.0257	0.0124	0.044	0	0	0.4718	0.0231	0.6621	0.0172	0	0	0	0.025	0	0	0	250	314	138	489	0	0	893	232	370	121	0	0	0	232	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol14		41	09/11/2013	15:27:23	0	40.6362	0.0046	0.0411	0.0606	0	0	12.6606	0.1931	47.1419	0.2689	0	0	0.0129	0.2583	0	0	0	101.2782	0.4404	0.0261	0.0126	0.0437	0	0	0.4801	0.0243	0.6747	0.0181	0	0	0	0.0255	0	0	0	252	312	140	475	0	0	874	243	371	129	0	0	0	235	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol14		42	09/11/2013	15:35:53	0	40.6803	0.0098	0.0371	0.0645	0	0	12.3344	0.1819	46.8129	0.2646	0	0	0.0047	0.254	0	0	0	100.6443	0.4407	0.0256	0.0125	0.0452	0	0	0.4698	0.0235	0.6697	0.0173	0	0	0	0.0248	0	0	0	251	305	140	493	0	0	924	238	364	121	0	0	0	230	0	0	0
