Ref_number	Sample_number	Volcanic_zone	System	Eruption	Location	Phase	Phase_number	Point_number	Core_rim	Profile_distance	Pheno_xeno_nod_gm	Texture	Inclusion	Hostref	Machine	Lab	Analyst	Comment	Point	Date	Notes			SiO2	TiO2	Al203	Cr2O3	V2O3	Fe2O3	FeO	MnO	MgO	CaO	Na2O	K2O	P2O5	NiO	SO2	F	Cl	Total	SiO2_err	TiO2_err	Al2O3_err	Cr2O3_err	V2O3_err	Fe2O3_err	FeO_err	MnO_err	MgO_err	CaO_err	Na2O_err	K2O_err	P2O5_err	NiO_err	SO2_err	F_err	Cl_err	SiO2_dl	TiO2_dl	Al203_dl	Cr2O3_dl	V2O3_dl	Fe2O3_dl	FeO_dl	MnO_dl	MgO_dl	CaO_dl	Na2O_dl	K2O_dl	P2O5_dl	NiO_dl	SO2_dl	F_dl	Cl_dl
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.4897	22916	-29212	0	1	0	39.7614	0	0	0	43.7392	0.0402	0	0.0339	0	0	0	15.1205	0	0	0	0.0426	1	0	0.4582	0	0	0	0.6928	0.027	0	0.022	0	0	0	0.6737	0	0	0	1	0	250	0	0	0	441	308	0	254	0	0	0	1037	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.8739	22633	-28904	0	1	0	39.7691	0	0	0	43.8099	0.0523	0	0.0087	0	0	0	15.447	0	0	0	0.0405	1	0	0.4583	0	0	0	0.6943	0.0275	0	0.0227	0	0	0	0.6861	0	0	0	1	0	247	0	0	0	440	308	0	271	0	0	0	967	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.5051	22802	-28936	0	1	0	39.5654	0	0	0	43.9247	0.0479	0	0.0235	0	0	0	15.1307	0	0	0	0.0377	1	0	0.4561	0	0	0	0.696	0.027	0	0.0222	0	0	0	0.6743	0	0	0	1	0	250	0	0	0	444	304	0	260	0	0	0	945	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.5593	19135	-27238	0	1	0	40.1084	0	0	0	46.2109	0.0791	0	0.0185	0	0	0	12.3108	0	0	0	0.0441	1	0	0.4617	0	0	0	0.7277	0.0267	0	0.0211	0	0	0	0.5628	0	0	0	1	0	2	0	0	0	430	287	0	249	0	0	0	906	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.8962	19045	-27358	0	1	0	40.3131	0	0	0	46.3217	0.0689	0	0.0079	0	0	0	12.372	0	0	0	0.0406	1	0	0.4645	0	0	0	0.7314	0.0287	0	0.0223	0	0	0	0.5715	0	0	0	1	0	251	0	0	0	449	315	0	266	0	0	0	948	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.8048	18892	-27645	0	1	0	40.1786	0	0	0	46.345	0.0574	0	0.0359	0	0	0	12.3898	0	0	0	0.0416	1	0	0.4625	0	0	0	0.7297	0.0277	0	0.0214	0	0	0	0.5652	0	0	0	1	0	244	0	0	0	433	310	0	246	0	0	0	834	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.4655	15626	-28744	0	1	0	39.9194	0	0	0	45.1552	0.0248	0	0.0021	0	0	0	13.6227	0	0	0	0.0413	1	0	0.4596	0	0	0	0.7122	0.0256	0	0.0221	0	0	0	0.6124	0	0	0	1	0	243	0	0	0	430	297	0	265	0	0	0	926	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	100.4206	15755	-28732	0	1	0	40.1808	0	0	0	45.1475	0.0182	0	0.0175	0	0	0	14.2998	0	0	0	0.0445	1	0	0.4629	0	0	0	0.7137	0.0263	0	0.0224	0	0	0	0.6421	0	0	0	1	0	249	0	0	0	435	308	0	264	0	0	0	945	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.4508	15740	-28877	0	1	0	39.8886	0	0	0	45.0041	0.063	0	0	0	0	0	13.7326	0	0	0	0.0474	1	0	0.4592	0	0	0	0.7099	0.0261	0	0.022	0	0	0	0.6162	0	0	0	1	0	244	0	0	0	431	287	0	265	0	0	0	914	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.3669	12776	-29286	0	1	0	39.9761	0	0	0	45.1657	0.0196	0	0.0307	0	0	0	13.4661	0	0	0	0.0485	1	0	0.4607	0	0	0	0.7143	0.0268	0	0.0228	0	0	0	0.6123	0	0	0	1	0	2	0	0	0	442	314	0	266	0	0	0	946	0	0	0		
